NN name,sum time,number of episodes,sum of ranks,number of hits,my score,best score,number of movements,sum loss,sum accuracy,action frequency
2024-04-23-18-09-00,4936,500,4205,544,61872,373865,161092,36372.2,442.2000000000001,"[2334, 1464, 4134, 1919, 6904, 3563, 6007, 645, 4752, 6383, 690, 3621, 1698, 397, 6747, 4201, 5737, 4770, 2600, 2400, 6021, 6258, 4341, 3865, 13307, 1275, 5622, 2000, 2551, 1262, 1647, 5253, 1416, 3984, 2123, 1035, 4742, 4409, 3278, 6973, 424, 5202, 2163, 475]"
2024-04-23-19-06-12,4214,500,4261,742,59280,371041,145330,25403.7,409.3,"[72, 3980, 237, 4429, 3344, 14890, 2998, 11642, 672, 1962, 823, 575, 1130, 672, 3824, 7277, 135, 632, 709, 326, 534, 6322, 1701, 418, 2786, 511, 644, 5327, 739, 9744, 17746, 1549, 1017, 15614, 4402, 3026, 3237, 3596, 144, 1011, 1535, 525, 520, 1853]"
2024-04-23-20-00-00,4657,500,4263,448,56579,371131,159354,6298.8,396.69999999999993,"[23225, 4, 3847, 1022, 52, 0, 17, 2258, 36, 593, 308, 11, 223, 4752, 19025, 28, 368, 4759, 596, 3243, 12719, 625, 8213, 613, 7957, 2075, 3709, 37, 57, 1520, 10661, 6056, 529, 461, 327, 4657, 7725, 403, 2465, 6407, 9036, 417, 7075, 743]"
2024-04-23-23-47-46,6324,500,4186,397,61817,371645,166790,4348.900000000001,370.3,"[366, 2, 727, 31617, 67, 0, 1165, 13021, 679, 2423, 1631, 6546, 1776, 4362, 1842, 326, 24638, 3991, 4119, 0, 877, 2438, 6432, 17306, 9271, 437, 3, 724, 571, 3, 270, 2298, 2135, 3952, 17347, 375, 773, 933, 5, 541, 294, 7, 0, 0]"
2024-04-24-00-29-09,5450,500,4161,389,63593,371106,171878,2167.4,353.1,"[5789, 3734, 11, 685, 8259, 4662, 11400, 156, 3353, 21617, 0, 7637, 1447, 38476, 2427, 25, 3500, 155, 2838, 6566, 723, 0, 1, 19110, 2787, 5, 29, 5801, 0, 691, 2450, 0, 0, 3282, 34, 4657, 0, 6, 0, 1129, 7304, 6, 603, 23]"
2024-05-01-11-45-23,4912,500,4303,623,55623,368950,149295,23110.9,406.5,"[198, 3166, 4008, 643, 4383, 3764, 196, 6295, 4683, 91, 9024, 12229, 1592, 3122, 282, 393, 2068, 2648, 9555, 427, 6029, 221, 2184, 7109, 125, 1380, 156, 3018, 714, 22089, 1230, 2292, 4534, 3143, 33, 2045, 538, 1504, 547, 140, 178, 16463, 1433, 2923]"
2024-05-01-14-31-12,4450,500,4201,365,61743,369345,173147,14751.8,407.2,"[2303, 7646, 4014, 1167, 10766, 6996, 717, 2810, 3845, 1493, 3420, 1297, 1500, 2397, 4093, 4217, 9074, 5063, 2237, 14753, 221, 8920, 4403, 10409, 13614, 904, 3646, 423, 177, 23522, 2939, 20, 793, 1608, 388, 1352, 322, 410, 2839, 420, 2373, 1377, 650, 1109]"
2024-05-01-15-17-33,7353,500,4224,642,61843,371019,153828,9179.2,407.0,"[241, 10761, 1927, 104, 2902, 147, 2459, 2641, 5093, 981, 5111, 2332, 538, 847, 6408, 112, 4607, 8, 1458, 801, 3029, 3213, 10, 36224, 169, 751, 1773, 242, 576, 3369, 979, 12138, 11400, 4301, 11660, 94, 5732, 1221, 1422, 2440, 1902, 416, 353, 436]"
2024-05-01-17-33-30,5493,500,4231,408,58306,370897,162256,5683.5,384.5,"[8796, 6, 4051, 10664, 5695, 3639, 850, 8771, 3968, 6714, 838, 1324, 5, 141, 2647, 11223, 2682, 143, 1206, 265, 7828, 8178, 615, 328, 2382, 16552, 327, 5764, 0, 45, 3511, 3131, 182, 25, 7395, 24314, 189, 64, 1078, 3795, 352, 795, 379, 899]"
2024-05-03-23-17-29,6424,500,4209,454,60688,372487,165295,6916.900000000001,390.7000000000001,"[14130, 2555, 56, 17, 3936, 9124, 118, 784, 2168, 307, 3, 6889, 3720, 371, 2, 3199, 36565, 0, 1, 38, 19, 217, 2, 747, 20661, 3623, 49, 2, 30, 8, 527, 159, 121, 1022, 61, 13847, 8811, 287, 1539, 496, 5965, 16879, 2778, 2962]"
2024-05-03-23-19-30,5714,500,4239,679,62684,370990,154616,2721.6000000000004,345.6,"[9, 1337, 20378, 11506, 2021, 1508, 4954, 92, 12, 4040, 1, 1410, 2540, 0, 15483, 142, 1332, 24, 0, 4, 5642, 16330, 32, 0, 1768, 0, 1253, 8782, 0, 5441, 16400, 3623, 59, 7550, 11114, 2094, 512, 64, 82, 0, 0, 0, 5, 6572]"
2024-05-05-15-02-06,2303,200,1631,131,27200,151107,72593,208.8,128.3,"[28874, 2011, 979, 1099, 3615, 1509, 688, 694, 73, 332, 1808, 227, 198, 2219, 1790, 2492, 1689, 2031, 4, 1231, 795, 2893, 915, 944, 288, 225, 1268, 0, 197, 688, 150, 554, 13, 79, 1393, 280, 1378, 1639, 536, 105, 2619, 1348, 397, 126]"
2024-05-05-17-41-11,2281,200,1588,196,31285,146824,83708,248.7,128.0,"[50532, 230, 527, 193, 284, 4657, 58, 69, 372, 320, 58, 759, 690, 442, 285, 280, 358, 23, 2582, 183, 151, 3767, 296, 308, 796, 104, 1902, 3659, 9, 32, 468, 14, 7269, 36, 0, 43, 314, 11, 57, 401, 614, 226, 40, 89]"
2024-05-05-19-21-20,2162,200,1668,108,24348,149290,68084,20198.3,173.4,"[2826, 5738, 6052, 4339, 754, 2203, 213, 547, 2415, 1146, 6250, 102, 4, 78, 1, 10129, 449, 19, 2201, 47, 7479, 768, 69, 131, 380, 36, 0, 151, 1980, 491, 45, 92, 5, 79, 82, 5, 144, 418, 103, 327, 9278, 79, 67, 162]"
2024-05-05-20-52-48,2436,200,1703,217,23688,147284,63706,147.3,137.2,"[1670, 358, 2333, 634, 868, 1556, 933, 4842, 467, 101, 2494, 436, 5, 229, 707, 8247, 81, 3490, 559, 2128, 919, 5457, 868, 168, 1317, 748, 1666, 69, 16, 1299, 2730, 3283, 13, 354, 482, 5123, 454, 621, 894, 337, 303, 369, 1323, 2555]"
2024-05-05-22-39-31,2929,200,1644,146,26452,147844,71376,142.9,128.2,"[14836, 1571, 1562, 1119, 2005, 2923, 554, 2365, 4061, 558, 488, 6187, 1107, 205, 2352, 3970, 630, 1347, 344, 1500, 1795, 104, 2849, 355, 2151, 599, 1519, 822, 520, 127, 1487, 348, 67, 298, 282, 659, 3846, 502, 301, 98, 252, 2070, 409, 32]"
2024-05-06-08-36-17,3028,200,1658,383,26895,147927,65131,19400.4,176.9,"[1507, 17976, 3665, 411, 922, 1724, 283, 87, 151, 0, 938, 3, 3295, 343, 0, 5, 1604, 406, 477, 255, 14, 390, 645, 446, 3908, 302, 196, 7, 117, 2574, 23, 14, 14971, 332, 2200, 3327, 223, 26, 52, 93, 348, 600, 17, 54]"
2024-05-06-15-08-22,2811,200,1691,220,23139,147575,62198,274.8,142.7,"[5, 939, 0, 724, 607, 1922, 430, 8, 275, 1, 1586, 2277, 0, 5178, 4681, 2908, 0, 615, 6262, 2698, 289, 851, 1, 0, 5408, 244, 277, 0, 21, 1944, 1060, 1122, 2186, 0, 0, 55, 12821, 210, 275, 1168, 404, 623, 1843, 80]"
2024-05-06-18-16-46,1789,200,1740,319,21375,148424,54287,19769.8,172.2,"[35, 13, 912, 2, 35, 362, 8, 2806, 68, 379, 184, 876, 140, 644, 83, 6, 0, 1285, 32, 108, 113, 304, 19, 405, 390, 3, 3, 21, 119, 1761, 1025, 5609, 0, 4373, 941, 3, 10237, 4, 174, 733, 8403, 936, 1, 10532]"
